# Sistema Pizzería — Ventas
# Formato: id|fecha|idCajero|metodoPago|total|cambio|estado|nombreCliente|items...
1|2026-04-03 12:30|3|EFECTIVO|120.00|30.00|ENTREGADO|150.00|1~Fuga Z rellena~120.00~1;2~Prosciutto~100.00~1;13~Tocino~80.00~2
2|2026-04-03 13:15|4|TARJETA|55.00|0.00|ENTREGADO|55.00|2~Prosciutto~100.00~1
3|2026-04-03 19:45|3|EFECTIVO|110.00|40.00|ENTREGADO|150.00|6~Hawahiana~80.00~1;12~Viena~80.00~1;15~Jamon Champinon~90.00~1
4|2026-04-04 12:00|4|QR|52.00|0.00|ENTREGADO|52.00|3~Fugazza~80.00~1
5|2026-04-04 14:30|3|EFECTIVO|95.00|5.00|ENTREGADO|100.00|4~Miel~80.00~1;13~Tocino~80.00~3
6|2026-04-04 20:00|4|TARJETA|78.00|0.00|ENTREGADO|78.00|7~Rucula Roquefort~90.00~1
7|2026-04-05 11:30|3|EFECTIVO|85.00|15.00|ENTREGADO|100.00|2~Prosciutto~100.00~1;13~Tocino~80.00~3
8|2026-04-05 13:45|4|QR|48.00|0.00|ENTREGADO|48.00|5~Caribeña~90.00~1
9|2026-04-05 18:30|3|EFECTIVO|130.00|20.00|ENTREGADO|150.00|6~Hawahiana~80.00~1;4~Miel~80.00~1;14~Autor~90.00~1
10|2026-04-05 19:15|4|TARJETA|65.00|0.00|ENTREGADO|65.00|1~Fuga Z rellena~120.00~1;13~Tocino~80.00~2
11|2026-04-06 12:15|3|EFECTIVO|42.50|7.50|ENTREGADO|50.00|1~Fuga Z rellena~120.00~1
12|2026-04-06 13:00|4|QR|110.00|0.00|ENTREGADO|110.00|6~Hawahiana~80.00~1;5~Caribeña~90.00~1
13|2026-04-06 20:30|3|EFECTIVO|95.00|5.00|ENTREGADO|100.00|4~Miel~80.00~1;9~Jamon Choclo~80.00~2;14~Autor~90.00~2
14|2026-04-07 11:00|4|TARJETA|55.00|0.00|ENTREGADO|55.00|2~Prosciutto~100.00~1
